seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_bmi
291,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.713349888,0.452793967,0,0,0.142857143,0.214285715,0,1,1
292,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.713349888,0.27130637,0,0,0,0.142857143,0,1,1
293,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.235722334,0.233747636,0,0,0,1.861904762,0,1,1
294,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.713349888,0.27130637,0,0,0,1.861904762,0,1,1
295,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.994252273,1.018541048,0,0,0,1.861904762,0,1,1
296,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,0.048790164,0.207678518,0,0,0.142857143,10.00000001,0,1,1
297,102,drugs_alcohol,493,cvd_ihd,309694,9023,0,continuous,gday,-0.867500568,1.199102134,0,0,41.14285715,64.00000001,0,1,1
298,102,drugs_alcohol,493,cvd_ihd,436456,9023,0,continuous,gday,-1.203972804,0.609118087,0.1,1.4,10,14.9,1,1,1
299,102,drugs_alcohol,493,cvd_ihd,309600,9023,0,continuous,gday,-0.510825624,0.046510601,0,0,1,14,0,1,1
300,102,drugs_alcohol,493,cvd_ihd,309600,9023,0,continuous,gday,-0.755022584,0.119035595,0,0,15,22.5,0,1,1
301,102,drugs_alcohol,493,cvd_ihd,436458,9023,0,continuous,gday,0,0.066036131,1.714285714,10.28571428,12,22.28571428,0,1,1
302,102,drugs_alcohol,493,cvd_ihd,309695,9023,0,continuous,gday,-0.105360516,0.595758907,0,0.913263429,1,20,0,1,1
303,102,drugs_alcohol,493,cvd_ihd,309695,9023,0,continuous,gday,-0.356674944,0.599840627,0,0.913263429,21,41,0,1,1
304,102,drugs_alcohol,493,cvd_ihd,309695,9023,0,continuous,gday,-0.105360516,0.467495271,0,0.913263429,42,69,0,1,1
305,102,drugs_alcohol,493,cvd_ihd,309695,9023,0,continuous,gday,-0.223143551,0.673228911,0,0.913263429,70,105,0,1,1
306,102,drugs_alcohol,493,cvd_ihd,436502,9023,0,continuous,gday,-0.127833372,0.060819139,0,0.857142857,0.857142857,4.285714285,0,1,1
307,102,drugs_alcohol,493,cvd_ihd,436502,9023,0,continuous,gday,-0.287682072,0.071418374,0,0.857142857,4.285714285,8.57142857,0,1,1
308,102,drugs_alcohol,493,cvd_ihd,436502,9023,0,continuous,gday,-0.174353387,0.108537187,0,0.857142857,8.57142857,12.85714286,0,1,1
309,102,drugs_alcohol,493,cvd_ihd,436502,9023,0,continuous,gday,-0.356674944,0.164001364,0,0.857142857,12.85714286,19.28571428,0,1,1
310,102,drugs_alcohol,493,cvd_ihd,437014,9023,0,continuous,gday,-0.430782916,0.132345355,0,4.907346708,4.907346708,9.818168974,0,1,1
311,102,drugs_alcohol,493,cvd_ihd,309696,9023,0,continuous,gday,-0.663588378,0.536249889,0,11,11,22,1,1,1
312,102,drugs_alcohol,493,cvd_ihd,309696,9023,0,continuous,gday,0.901380119,0.434884717,0,11,22,33,1,1,1
313,102,drugs_alcohol,493,cvd_ihd,437389,9023,0,continuous,gday,0.277631737,0.112884281,0,0,0,35.99999999,0,1,1
314,102,drugs_alcohol,493,cvd_ihd,309697,9023,0,continuous,gday,-0.261364764,0.120942249,0,0,0,4.9,0,1,1
315,102,drugs_alcohol,493,cvd_ihd,309699,9023,0,continuous,gday,-0.174353387,0.229940072,0,10,10,30,0,1,1
316,102,drugs_alcohol,493,cvd_ihd,428941,9023,0,continuous,gday,0.277631737,0.191793541,0,27.96,27.96,41.94,0,1,1
317,102,drugs_alcohol,493,cvd_ihd,428941,9023,0,continuous,gday,-0.598836501,0.143286745,0,0,0,27.96,0,1,1
318,102,drugs_alcohol,493,cvd_ihd,428941,9023,0,continuous,gday,0.444685821,0.196500742,0,27.96,27.96,41.94,0,1,1
319,102,drugs_alcohol,493,cvd_ihd,428941,9023,0,continuous,gday,-0.292669614,0.166080534,0,0,0,27.96,0,1,1
320,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.210721031,0.296722145,0,0,20.00000002,30.00000003,0,1,1
321,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.371063681,0.275970707,0,0,30.00000003,45.00000005,0,1,1
