seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_otherdrug
76,102,drugs_alcohol,417,neo_liver,296151,9023,0,continuous,gday,-0.0202027073175195,0.421032126571805,0,0,21.33,42.66,0,1,1
77,102,drugs_alcohol,417,neo_liver,528719,9023,0,continuous,gday,0.2390169004705,0.210887391118487,1,60,61,100,0,0,0
78,102,drugs_alcohol,417,neo_liver,528719,9023,0,continuous,gday,0.912282710476616,0.189128439163119,1,60,101,151.5,0,0,0
79,102,drugs_alcohol,417,neo_liver,528728,9023,0,continuous,gday,0.182321556793955,0.220662611603726,1,60,61,100,0,0,0
80,102,drugs_alcohol,417,neo_liver,528728,9023,0,continuous,gday,0.955511445027436,0.218282170933092,1,60,101,151.5,0,0,0
81,102,drugs_alcohol,417,neo_liver,528730,9023,0,continuous,gday,0.587786664902119,0.339065292673455,1,40,41,80,0,0,0
82,102,drugs_alcohol,417,neo_liver,528730,9023,0,continuous,gday,1.96009478404727,0.307135919470902,1,40,81,121.5,0,0,0
83,102,drugs_alcohol,417,neo_liver,528733,9023,0,continuous,gday,1.50363285353712,0.453400908521536,1,49,50,75,0,0,0
84,102,drugs_alcohol,417,neo_liver,528921,9023,0,continuous,gday,1.22377543162212,0.740858438782781,0,1.42857142857143,2.85714285714286,4.28571428571429,0,0,0
85,102,drugs_alcohol,417,neo_liver,542884,9023,0,continuous,gday,0.048790164169432,0.0585649085827806,1.14285714285714,2.28571428571429,3.42857142857143,6.85714285714286,0,0,0
86,102,drugs_alcohol,417,neo_liver,542884,9023,0,continuous,gday,0.0582689081239758,0.057460867732395,1.14285714285714,2.28571428571429,8,16,0,0,0
87,102,drugs_alcohol,417,neo_liver,542884,9023,0,continuous,gday,0.173953307123438,0.104310113062488,1.14285714285714,2.28571428571429,17.1428571428571,25.7142857142857,0,0,0
